,name,city,state,twitter_handle
0,Geico Insurance,Phoenix,AZ,GEICO
1,The Coffee Bean & Tea Leaf,Phoenix,AZ,cbtlph
2,Original Hamburger Works,Phoenix,AZ,WorksHamburger
3,Citi Trends,Las Vegas,NV,cititrendsjobs
4,Rib Shop,Phoenix,AZ,RibShop
5,Salsitas,Phoenix,AZ,RamD84
6,Subway,Las Vegas,NV,SUBWAY
7,Little Caesars Pizza,Phoenix,AZ,littlecaesarsmx
8,Audio Express,Phoenix,AZ,ExpressPodcasts
9,Aria Remodeling,Las Vegas,NV,ariaeddi
10,Junior's Pizzeria,Charlotte,NC,juniorspizzeria
11,Shower Solutions,Las Vegas,NV,ShowerManager
12,Subway,Charlotte,NC,SUBWAY
13,Philip Pelusi,Pittsburgh,PA,philippelusi
14,Sunset Castle,Henderson,NV,fxllingfored
15,China Palace,Pittsburgh,PA,Amanresorts
16,Fit Life 120,Gilbert,AZ,FitLife120
17,Makeupbygaby1974,Phoenix,AZ,solaresgaby
18,Pizza Bellagio,Pittsburgh,PA,PizzaBellagio
19,Long Animal Hospital,Charlotte,NC,LongAnimalHosp
20,Apple Nail & Spa,Charlotte,NC,applenailspatx
21,Popular Nails,Tempe,AZ,PopularNails
22,Chase Bank,Tempe,AZ,Chase
23,AutoZone,Tempe,AZ,autozone
24,Jack's Liquor,Phoenix,AZ,VeniaEchelon
25,Crestview Dental,Henderson,NV,DentalCrestview
26,Fat Ox,Scottsdale,AZ,evi1pilotfish
27,Tru Physical Therapy,Henderson,NV,TruDenta
28,Desert Homes,Phoenix,AZ,CVDesertHomes
29,Parkland Commons,Charlotte,NC,ParklandCommons
30,Goodwill,Charlotte,NC,GoodwillIntl
31,Popeyes Louisiana Kitchen,Las Vegas,NV,PopeyesChicken
32,Pizza Hut,Las Vegas,NV,pizzahut
33,Firestone Complete Auto Care,Charlotte,NC,FirestoneAuto
34,The UPS Store,Phoenix,AZ,TheUPSStore
35,A & A International Food,Charlotte,NC,FAOnews
36,Apex Physical Therapy,Phoenix,AZ,Excel_Apex_PT
37,Kara Tiana,Las Vegas,NV,karatiana_
38,Boston Market,Phoenix,AZ,bostonmarket
39,The Gilded Girl,Pittsburgh,PA,The_Gilded_Girl
40,El Pollo Loco,Las Vegas,NV,ElPolloLoco
41,Popeyes Louisiana Kitchen,Las Vegas,NV,PopeyesChicken
42,Las Vegas BikeFest,Las Vegas,NV,VegasBikeFest
43,Crossfit Blade,Phoenix,AZ,Crossfitblade
44,Marshalls,Las Vegas,NV,marshalls
45,Body Works Plus,Charlotte,NC,BodyWrksPlus
46,Commonwealth Press,Pittsburgh,PA,KentuckyPress
47,Cool Cuts 4 Kids,Phoenix,AZ,MyCoolCuts4Kids
48,iCracked iPhone Repair,Pittsburgh,PA,iCracked
49,R&L Customs,Charlotte,NC,RandLCustoms
50,Diamond Cut Pet Spa,Phoenix,AZ,diamondcutpet
51,TNT Pawn,Las Vegas,NV,PawnTNT
52,Chicago Brewing Company,Las Vegas,NV,BegyleBrewing
53,Port of Subs,Tempe,AZ,PortofSubs_LV
54,O'Reilly Auto Parts,Mesa,AZ,oreillyauto
55,Absolute Dental,Las Vegas,NV,absolutedentuk
56,Ceremony of Dreams,Las Vegas,NV,PRWeddings
57,Chili's,Las Vegas,NV,Chilis
58,Buy Gitomer,Charlotte,NC,BuyGitomer
59,Summerlin Dermatology,Las Vegas,NV,SummerlinDerm
60,Embroidery LV,Las Vegas,NV,EmbroideryLV1
61,Green Valley Grocery,Las Vegas,NV,GVGrocery
62,Eagle Crest Golf Course,Las Vegas,NV,EagleCrestOre
63,Barrio Cafe Gran Reserva,Phoenix,AZ,chefSILVANAphx
64,Volume Hair Studio,Phoenix,AZ,VolHairStudio
65,Gentle Dental,Tempe,AZ,GentleDentalNE
66,Starbucks,Las Vegas,NV,Starbucks
67,Crazy Mocha,Pittsburgh,PA,Crazy_Mocha
68,Lovebug Baby,Las Vegas,NV,shoplovebugbaby
69,Las Vegas Party Bus,Las Vegas,NV,Vegas_Party_Bus
70,Fitness 19 Pittsburgh,Pittsburgh,PA,LivingHealthy19
71,Tropical Smoothie Cafe,Henderson,NV,TSmoothieCafe
72,Arby's,Phoenix,AZ,Arbys
73,Starbucks,Phoenix,AZ,Starbucks
74,Las Vegas Hiking Adventures,Las Vegas,NV,KayakLasVegas
75,Palmer St,Charlotte,NC,MarkPalmerST
76,Starbucks,Tempe,AZ,Starbucks
77,Costco,Tempe,AZ,Costco
78,Kay Jewelers,Scottsdale,AZ,KayJewelers
79,Fitness 19 Pittsburgh,Pittsburgh,PA,LivingHealthy19
80,Domino's Pizza,Las Vegas,NV,dominos
81,Cobblestone Auto Spa,Gilbert,AZ,CobblestoneAuto
82,The Pet Club,Scottsdale,AZ,healthypetclub
83,One Six Sky Lounge,Las Vegas,NV,ONESIXLV
84,Eastside Cannery,Las Vegas,NV,EastsideCan
85,Dwellworks,Chandler,AZ,dwellworks
86,Tony's Pizza,Charlotte,NC,tonyspizza415
87,Bella Boutique,Las Vegas,NV,bellarosems
88,A Clean Xscape,Chandler,AZ,ACleanXscape
89,NYPD Pizza,Chandler,AZ,NYPDPizzeria
90,New York & Company,Chandler,AZ,NYTimesPR
91,Horizon Eye Care,Charlotte,NC,horizoneye
92,Nationwide Vision Centers,Phoenix,AZ,NwVisionCenters
93,Adam & Eve Las Vegas,Las Vegas,NV,adamevelasvegas
94,Rita's Italian Ice,Pittsburgh,PA,RitasItalianIce
95,C & D Silver,Phoenix,AZ,ClaudiaBokel
96,Stella McCartney,Las Vegas,NV,StellaMcCartney
97,RiteRug Flooring,Charlotte,NC,RiteRug
98,Appliance Doctor,Phoenix,AZ,appliance_dr
99,McDonald's,Scottsdale,AZ,McDonalds
